Codes,All_ages,0-15,16-29,30-44,45-64,65+,Working-age,pop_dens,p_lone_house,p_one_house,p_notuk,p_social_rent,p_private_rent,p_apt,house_median,p_parent_unemp,p_emp,p_unemp,p_edu_0,p_edu_1,p_edu_2,p_edu_app,p_edu_3,p_edu_4,p_edu_other,p_act_0,p_act_1,p_act_2,p_healthy,p_healthok,p_unhealth,p_cars_0,p_cars_1,p_cars_2,p_cars_3,p_cars_4,p_ptal_0,p_ptal_2,p_ptal_4,med_income
E01000106,1968,495,413,452,386,222,1251,89.7,18.7,42.9,26.1,47.1,22.7,70.7,105000,60.8,53.1,11.7,28.2,15.4,16.6,3.2,8.3,19.6,8.8,9.4,8.9,81.7,77.5,15.4,7.0,53.9,36.4,7.6,1.9,0.2,76.4,23.6,0.0,25333
E01000007,1391,333,415,417,168,58,1000,69.6,12.1,41.3,54.6,40.7,36.3,86.9,212000,52.4,53.0,11.9,15.2,13.7,12.4,0.7,9.1,32.3,16.6,5.5,5.0,89.5,85.1,9.8,5.0,62.9,30.2,6.2,0.5,0.2,0.0,0.0,100.0,26229
E01000008,1544,502,407,381,214,40,1002,79.1,22.8,24.8,52.2,66.6,15.2,91.0,140000,55.4,46.9,18.0,21.1,14.9,13.1,1.2,8.4,24.2,17.2,5.1,4.9,90.1,86.7,9.6,3.7,58.5,33.4,6.5,0.8,0.8,41.4,43.8,14.8,24204
E01000010,2840,651,952,864,289,84,2105,80.7,12.7,23.4,64.2,26.1,49.2,86.1,151475,57.8,56.1,9.7,12.2,7.7,9.7,1.2,7.7,44.9,16.6,3.1,4.0,92.9,88.6,8.3,3.1,74.2,22.6,3.0,0.3,0.0,0.0,0.0,100.0,31630
E01000012,1901,569,479,569,230,54,1278,136.8,20.9,23.6,57.5,22.1,47.0,69.9,170000,54.3,53.9,10.7,14.4,12.2,11.9,1.3,9.1,33.1,18.0,4.1,4.6,91.3,88.4,8.2,3.4,52.9,40.4,5.9,0.4,0.4,37.3,13.4,49.3,27705
E01000006,1703,394,410,468,298,133,1176,116.2,9.9,17.9,51.3,3.3,32.8,25.6,240500,51.5,58.6,9.5,18.2,11.8,12.9,1.5,8.8,32.9,13.8,5.2,6.7,88.1,86.1,9.7,4.2,34.3,45.9,16.0,2.6,1.3,0.0,10.6,89.4,39141
E01000009,1773,311,523,431,327,181,1281,138.6,10.0,29.9,58.6,20.5,38.1,49.8,226500,58.1,50.9,10.0,18.6,10.2,9.4,0.8,8.8,35.0,17.2,8.6,9.2,82.1,81.0,12.2,6.8,52.7,37.1,7.8,1.9,0.5,0.0,0.0,100.0,32464
E01000011,1634,365,509,398,272,90,1179,178.2,11.2,15.3,57.0,7.7,37.9,26.6,214000,56.2,49.2,10.2,18.0,12.4,13.3,1.0,8.4,29.6,17.3,5.5,6.7,87.8,82.7,12.4,5.0,40.7,41.1,15.1,2.8,0.2,0.0,0.0,100.0,28129
E01000044,1798,460,376,463,338,161,1177,105.4,13.4,24.2,46.1,11.4,27.5,13.4,183000,39.7,58.1,9.2,22.6,14.9,13.0,2.2,7.8,24.0,15.6,7.5,8.2,84.4,81.2,12.8,6.0,41.3,43.7,10.8,3.8,0.3,35.1,58.6,6.3,29978
E01000068,1590,332,437,301,354,166,1092,46.8,10.6,18.2,38.9,2.4,20.1,12.1,260000,31.8,58.2,6.0,22.5,13.5,12.3,2.0,11.2,26.5,12.0,6.3,7.0,86.7,84.3,11.7,4.0,25.1,42.2,26.4,5.2,1.1,8.8,42.2,49.0,42559
E01000041,1682,466,288,420,361,147,1069,110.2,18.0,24.5,27.2,36.2,12.9,6.4,160000,53.1,57.7,11.1,31.7,17.4,14.3,1.8,7.6,17.1,10.0,8.0,7.6,84.5,83.2,11.0,5.8,32.5,46.8,15.7,4.3,0.8,53.9,46.1,0.0,28845
E01000042,1788,518,428,419,277,146,1124,77.3,22.4,31.5,32.9,54.5,17.1,48.4,153500,67.5,48.5,14.9,30.2,15.4,14.1,1.6,8.0,20.3,10.6,8.3,7.4,84.3,80.4,12.6,7.0,54.5,34.6,9.6,1.0,0.3,24.6,75.4,0.0,26121
E01000045,1650,456,339,385,331,139,1055,55.3,23.3,22.4,30.8,38.9,20.3,18.2,139500,55.7,57.2,10.3,26.0,15.7,15.4,1.6,9.8,21.9,9.6,7.5,7.7,84.8,80.7,13.6,5.7,41.4,44.9,9.6,3.5,0.7,36.4,63.6,0.0,29517
E01000046,1779,501,291,451,374,162,1116,114.4,21.6,22.2,24.2,35.2,13.8,11.9,158000,46.8,59.8,10.7,30.0,17.7,14.1,2.0,11.3,16.6,8.3,7.6,8.7,83.7,80.7,13.6,5.7,38.5,41.9,15.9,3.1,0.6,47.3,52.7,0.0,28014
E01000072,1991,550,445,426,350,220,1221,38.3,22.3,30.9,27.2,44.8,20.3,34.0,172750,60.7,50.9,11.9,32.3,16.8,14.8,3.1,8.7,16.3,8.0,10.4,8.8,80.8,79.7,13.7,6.7,45.0,41.3,12.1,1.3,0.3,100.0,0.0,0.0,25250
E01000054,1718,453,288,412,366,199,1066,100.4,18.2,23.4,23.3,37.0,13.2,7.3,159500,53.1,58.3,10.3,33.6,14.3,18.5,1.7,7.7,16.6,7.5,8.6,8.3,83.1,79.7,13.7,6.6,32.9,47.5,17.4,1.9,0.3,24.6,75.4,0.0,28868
E01000055,1553,392,310,364,348,139,1022,106.4,18.9,23.0,26.3,33.9,13.0,5.7,152000,62.0,58.8,11.0,27.6,17.5,16.4,2.3,8.6,18.4,9.1,7.3,8.8,84.0,81.1,13.3,5.5,33.9,47.1,14.3,3.6,1.1,16.9,83.1,0.0,29174
E01000056,1584,448,293,397,286,160,976,65.0,24.4,23.2,22.7,42.2,15.7,17.3,155000,52.4,54.5,11.7,32.2,15.1,16.6,2.0,8.8,16.5,8.6,10.2,8.3,81.6,79.9,14.2,5.9,34.6,47.1,15.7,1.9,0.7,98.9,1.1,0.0,27991
E01000058,1849,487,367,471,372,152,1210,101.5,19.0,27.2,33.4,33.3,16.7,15.6,168000,56.4,59.3,8.9,27.0,15.3,15.4,2.1,8.9,21.4,9.8,7.2,8.3,84.4,82.5,11.7,5.8,36.8,48.8,11.9,2.3,0.1,17.9,82.1,0.0,28987
E01000095,1572,462,295,430,272,113,997,6.9,18.8,22.4,33.0,26.8,20.0,9.2,159750,45.6,60.8,10.1,23.2,16.6,13.2,1.6,8.6,26.8,9.9,6.7,5.9,87.4,86.0,9.6,4.4,30.4,47.5,18.4,3.3,0.4,100.0,0.0,0.0,35193
E01000040,1569,376,309,372,337,175,1018,91.9,20.2,29.4,29.4,49.5,14.8,34.8,173000,48.5,54.4,10.7,30.9,14.8,14.3,2.2,7.9,20.4,9.6,9.2,9.4,81.5,76.4,15.9,7.8,47.3,39.5,11.1,1.6,0.5,9.5,90.5,0.0,27636
